Product,Q2,,,
Auction,Jul_2013,,,
,,,,
,,,,
,,,,
Source Node,Sink Node,MW Bid,MW Offer,Historical
REMNTNCT18 KV   GT3,POSSUMP414 KV   G3,0,2,4
BATHCO  20 KV   GM1,DOMINION HUB,0,0,0
FLUVANNA18 KV   GS12,DOMINION HUB,0,0,0
BEARGRDN18 KV   CT1B,SHORTPMP35 KV   LANIER,0,0,0
FLUVANNA18 KV   GS12,NANNA4  22 KV   G1,0,0,0
FLUVANNA18 KV   GT22,SURRY4  22 KV   G2,15,10,0.3
BATHCO  20 KV   GM2,LOUISACT13.8 KV G1,15,0,0
BATH COUNTY GEN,LOUISACT13.8 KV G1,0,0,0
CUSHAW  2 KV    G15,LOUISACT13.8 KV G1,0,0,0
BREMO4  13 KV   G3,SANNA   230 KV  G1,0,0,0
BREMO4  17 KV   G4,SPRUANCE13.8 KV NUG1,0,0,0
CLOVER  25 KV   G2,GASTON4 14 KV   G1,25,23,1
CLOVER  25 KV   G2,RORAPIDS14 KV   G1,22,0,0.5
LUMBERTON,SURRY4  22 KV   G2,0,0,0
LUMBERTON,OPOSSUMC18 KV   SYNCHRON,0,0,0
